who WP who NOPre NOPost O
plays VVZ play NOPre NOPost O
luke NN luke NOPre NOPost B-character.name
on IN on NOPre NOPost O
star NN star NOPre NOPost B-movie.name
wars NNS war NOPre NOPost I-movie.name
new JJ new NOPre NOPost I-movie.name
hope NN hope NOPre NOPost I-movie.name

show NN show NOPre NOPost O
credits NNS credit credit r O
for IN for NOPre NOPost O
the DT the NOPre NOPost B-movie.name
godfather NN godfather godfat f I-movie.name

who WP who NOPre NOPost O
was VBD be NOPre NOPost O
the DT the NOPre NOPost O
main JJ main NOPre NOPost O
actor NN actor NOPre NOPost O
in IN in NOPre NOPost O
the DT the NOPre NOPost B-movie.name
exorcist NN exorcist exorci o I-movie.name

find VV find NOPre NOPost O
the DT the NOPre NOPost O
female JJ female NOPre NOPost O
actress NN actress actres c O
from IN from NOPre NOPost O
the DT the NOPre NOPost O
movie NN movie NOPre NOPost O
she PP she NOPre NOPost B-movie.name
's VBZ be NOPre NOPost I-movie.name
the DT the NOPre NOPost I-movie.name
man NN man NOPre NOPost I-movie.name

who WP who NOPre NOPost O
played VVD play NOPre NOPost O
dory NN dory NOPre NOPost B-character.name
on IN on NOPre NOPost O
finding VVG find findin i B-movie.name
nemo NN nemo NOPre NOPost I-movie.name

who WP who NOPre NOPost O
was VBD be NOPre NOPost O
the DT the NOPre NOPost O
female JJ female NOPre NOPost O
lead NN lead NOPre NOPost O
in IN in NOPre NOPost O
resident JJ resident reside s B-movie.name
evil NN evil NOPre NOPost I-movie.name

who WP who NOPre NOPost O
played VVD play NOPre NOPost O
guido NN guido NOPre NOPost B-character.name
in IN in NOPre NOPost O
life NN life NOPre NOPost B-movie.name
is VBZ be NOPre NOPost I-movie.name
beautiful JJ beautiful beauti u I-movie.name

who WP who NOPre NOPost O
was VBD be NOPre NOPost O
the DT the NOPre NOPost O
co-star NN co-star co-sta o O
in IN in NOPre NOPost O
shoot NN shoot NOPre NOPost B-movie.name
to TO to NOPre NOPost I-movie.name
kill VV kill NOPre NOPost I-movie.name

find VV find NOPre NOPost O
the DT the NOPre NOPost O
guy NN guy NOPre NOPost O
who WP who NOPre NOPost O
plays VVZ play NOPre NOPost O
charlie NN charlie charli h B-character.name
on IN on NOPre NOPost O
charlie NN charlie charli h B-movie.name
's POS 's NOPre NOPost I-movie.name
angels NNS angel NOPre NOPost I-movie.name

cast NN cast NOPre NOPost O
and CC and NOPre NOPost O
crew NN crew NOPre NOPost O
of IN of NOPre NOPost O
movie NN movie NOPre NOPost O
the DT the NOPre NOPost B-movie.name
campaign NN campaign campai m I-movie.name

cast NN cast NOPre NOPost O
and CC and NOPre NOPost O
crew NN crew NOPre NOPost O
of IN of NOPre NOPost O
the DT the NOPre NOPost B-movie.name
campaign NN campaign campai m I-movie.name

who WP who NOPre NOPost O
plays VVZ play NOPre NOPost O
in IN in NOPre NOPost O
the DT the NOPre NOPost O
movie NN movie NOPre NOPost O
the DT the NOPre NOPost B-movie.name
campaign NN campaign campai m I-movie.name

who WP who NOPre NOPost O
starred VVD star starre t O
in IN in NOPre NOPost O
the DT the NOPre NOPost B-movie.name
campaign NN campaign campai m I-movie.name

who WP who NOPre NOPost O
were VBD be NOPre NOPost O
the DT the NOPre NOPost O
crew NN crew NOPre NOPost O
for IN for NOPre NOPost O
the DT the NOPre NOPost B-movie.name
campaign NN campaign campai m I-movie.name

who WP who NOPre NOPost O
was VBD be NOPre NOPost O
the DT the NOPre NOPost O
lead JJ lead NOPre NOPost O
man NN man NOPre NOPost O
in IN in NOPre NOPost O
taxi NN taxi NOPre NOPost B-movie.name
